 Ensembl 	HGNC	N1H1_Pool_1	N1H1_Pool_2	N1H1_Pool_3	P1A8_Pool_1	P1A8_Pool_2	P1A8_Pool_3
RPS17P8		0	0	0	0	0	0
RPL37AP1	RPL37AP1	0	0	1	0	0	0
KRT18P36	KRT18P36	0	0	0	0	0	0
LINC00408		0	0	0	0	0	0
LINC02608		0	0	0	0	0	0
MRPL35P3	MRPL35P3	0	2	0	0	0	0
PTP4A1P3	PTP4A1P3	0	0	0	1	0	0
UBE2V2P1		0	0	0	0	0	0
GRM7-AS3	GRM7-AS3	0	0	0	0	0	0
GTF2H2B	GTF2H2B	322.24	288.69	363.4	22.89	69.41	40.19
PIMREGP1		0	0	0	0	0	0
PHKBP1	PHKBP1	0	0	0	0	0	0
ISM1-AS1		0	0	0	0	0	0
ZNF736P2Y	ZNF736P2Y	0	0	0	0	0	0
ARHGAP26-AS1	ARHGAP26-AS1	0	0	0	0	0	0
STUB1P1		0	0	0	0	0	0
PSPHP1	PSPHP1	0	0	0	0	0	0
RPL12P10		0	0	0	0	0	1
ARPC3P1	ARPC3P1	3	3	4	5	3	6
NUP35P2		0	1	0	0	0	0
TMEM191A	TMEM191A	32.82	17.74	22.67	12.11	18.97	16.7
OR52I2	OR52I2	0	0	0	0	0	0
CDCA4P3		0	0	0	0	0	0
RPS3AP10		0	0	0	0	0	0
RPL17P14		0	0	0	0	0	0
RAD23BP3	RAD23BLP	0	0	0	0	0	0
RPSAP62		0	0	0	0	0	0
PDCL3P1		0	0	0	0	0	0
NPY6R	NPY6R	1	5	0	1	0	9
SMARCE1P2	SMARCE1P2	0	0	0	1	0	0
CFLAR-AS1	CFLAR-AS1	1	2	0	1	1	0
MTCYBP12		0	0	0	0	0	0
ZNF192P1	ZNF192P1	29	38	27	64	67	73
LINC00351	LINC00351	0	0	0	0	0	0
RPS3AP38		4	4	3	1	6	4
LINC01811		0	0	0	0	0	0
CROCC2		0	0	0	0	0	1
RPSAP49		0	0	0	0	0	0
NUP50-DT		80	61	80	127	110	152
RPL23AP28		0	0	0	0	0	0
MRPS16P3		0	0	0	0	0	0
TMEM252-DT		2	1	0	0	1	3
RPS26P56	RPS26P56	0	0	0	0	0	0
USP8P2		0	0	0	0	0	0
MTCYBP39		0	0	0	0	0	0
NMD3P1	NMD3P1	1	0	0	1	0	0
CST12P		0	0	0	0	0	0
VN2R10P	VN2R10P	1	0	0	0	0	0
PSPC1-AS2	PSPC1-OT1	2	1	0	1	0	1
TAF9P1	TAF9P1	0	0	0	0	0	0
RPS6P20	RPS6P20	0	0	0	0	0	0
KRT8P38	KRT8P38	0	0	0	0	0	0
ACTG1P24		0	1	0	1	2	0
RPL10AP6	RPL10AP6	49	46	42	32	39	52
TERF1P5	TERF1P5	0	0	0	2	4	0
FAM41AY2	FAM41AY2	0	0	0	0	0	0
HAGLROS		59.26	54.48	43.82	30.77	23.33	24.47
LINC02089		0	0	0	0	0	0
CCDC12P1		0	0	0	0	0	0
ST7-AS2	ST7-AS2	0	0	0	0	0	0
LINC00375		0	0	0	0	0	0
DCAF8L1	DCAF8L1	0	0	0	0	0	0
LINC01345		0	0	0	0	0	0
LINC01876		9	21	16	10	8	9
PARD3-AS1		0	1	0	0	0	0
SORCS3-AS1		0	0	0	0	0	0
ELL2P4	ELL2P4	0	0	0	0	0	0
MAPK6P6		0	0	0	0	0	0
KCNQ2-AS1		0	0	0	0	0	0
MTATP6P21		0	0	0	0	0	0
IFNA20P	IFNA20P	0	0	1	0	0	0
C12orf77	C12orf77	0	0	0	0	0	0
RBMX2P1	RBMX2P1	0	0	0	0	0	0
RPL23P11		0	0	0	0	0	0
LINC02628		0	0	0	0	0	0
OR8T1P	OR8T1P	0	0	1	0	0	0
MTCYBP38		0	0	0	0	0	0
TPI1P1	TPI1P1	306	276	271	288.84	300	256
MRPL23-AS1	MRPL23-AS1	0	4	1	0	0	0
SLC16A1-AS1		59	69	74	51	72	68
IGLV3-4	IGLV3-4	0	0	0	0	0	0
SLC25A5P5		0	0	0	0	0	0
HMGN2P7	HMGN2P7	0	0	0	0	0	0
RPL15P13		0	0	0	0	0	0
USP17L7	USP17L7	0	1	0	1	1	0
ANKRD18DP	ANKRD18DP	0	0	1	0	0	0
H3P43		0	0	0	0	0	0
LAMA4-AS1		0	0	2.72	0	0	0
PLCL2-AS1	PLCL2-AS1	0	0	0	0	0	0
GAPDHP32	GAPDHP32	0	0	0	0	0	0
ACTR3BP7	ACTR3BP6	0	0	0	0	0	0
NOTCH2P1		0	0	0	0	0	0
ZNF25-DT		0	0	0	0	0	0
RPL7AP51		0	0	0	0	0	0
CDY5P	CDY5P	0	0	0	0	0	0
CYP2D8P	CYP2D8P1	3	4	4	2	5	8
LINC02542		0	1	0	0	1	0
RPL22P3		0	0	0	0	0	0
OR10G5P	OR10G5P	0	0	0	0	0	0
ADAM1B		2	6	5	5	9	11
RPS29P33		0	0	0	0	0	0
PPIAP62		0	0	0	0	0	0
LINC01748		0	0	0	0	0	0
UPF3AP1	UPF3AP1	3.03	3.8	3.99	3.72	3.03	1
TMEM185B	TMEM185B	696	550	676	715	726	896
OR7H1P	OR7H1P	0	0	0	0	0	0
ACTR3BP2	ACTR3BP2	0	0	0	0	0	0
ADIPOQ-AS1	ADIPOQ-AS1	0	0	0	0	2	0
RBM22P3	RBM22P3	0	0	0	0	0	0
LINC01035		0	0	0	0	0	0
LINC01824		0	0	0	0	0	0
FTOP1	FTOP1	0	0	1	0	1	0
LINC00323	LINC00323	1	1	1	0	1	0
LINC02549		0	0	0	0	0	0
RPSAP21		0	0	0	0	0	0
KRT8P27	KRT8P27	0	0	0	0	0	0
IPMKP1	IPMKP1	0	0	0	0	0	0
LINC01918		1	0	1	6	4	1
UPK1A-AS1	UPK1A-AS1	64	78	39	0	2	0
FAM138B	FAM138B	0	0	0	0	0	0
LINC00390		0	0	0	0	0	0
KIRREL1-IT1	KIRREL-IT1	0	0	0	0	2	0
HDAC9-AS1		0	0	0	0	0	0
RPS7P10	RPS7P10	11	11	8	9	8.17	6.02
MTND1P1	MTND1P1	0	0	0	0	0	0
BTBD9-AS1	BTBD9-AS1	0	0	0	0	1	0
OR7E33P	OR7E33P	0	0	0	0	0	0
MLXP1		0	0	0	1	2	1
GAPDHP73	GAPDHP73	0	0	0	0	0	0
MYL6P1	MYL6P1	0	0	0	0	0	0
RPL7P22	RPL7P22	7	4	5	10.03	3.25	2
SSU72P1	SSU72P1	0	0	0	0	0	0
SCDP1	SCDP1	1	7	4	5	15	16
IMPDH1P7		0	0	0	1	0	0
MTCL1P1	CCDC165P1	0	0	0	0	0	0
AGKP1	AGKP1	0	0	0	0	0	0
NPM1P49		0	0	0	0	0	0
TRAF6P1		0	0	0	0	0	0
CYP4F26P		0	1	0	0	0	0
FTH1P20	FTH1P20	12.07	11.04	13.25	27.86	23.05	38.16
LINC00606		0	0	0	0	0	0
SNORD57	SNORD57	0	0	0	0	0	0
MICC	MICC	0	0	0	0	0	0
RPL39P40	RPL39P40	1	0	0	0	0	0
LINC02848		0	0	0	0	0	0
UBE2V1P10		0	0	0	0	0	0
IFNWP9	IFNWP9	0	0	0	0	0	0
CT47A9	CT47A9	0	0	0	0	0	0
PAPPA-AS2		1	0	2	0	0	2
FTLP3	FTLP3	68	45	42	17	23	24
OFD1P2Y	OFD1P2Y	0	0	0	0	0	0
OR52M2P	OR52M2P	0	0	0	0	0	0
RPL21P110	RPL21P110	0	0	0	0	0	1
LINC00343	LINC00343	2	0	1	1	1	0
RBM17P1		0	0	0	0	1	0
NOP56P2		0	0	0	0	0	0
SHANK2-AS1	SHANK2-AS1	0	0	0	0	0	0
SLC9A3P3	SLC9A3P3	0	0	0	0	0	0
SHISA5P1		1	0	0	0	0	0
ACTG1P12		0	0	0	0	0	0
RPL7P37		0	0	0	0	0	0
PLCG1-AS1		1	2	2	3	4	3
KIF4B	KIF4B	4	3	2	2	3	3
PSMD10P2	PSMD10P2	0	0	0	0	0	0
OR13Z1P	OR13Z1P	0	0	0	0	0	0
TRBV2	TRBV2	0	0	0	0	1	0
CHMP1AP1	CHMP1AP1	0	0	0	0	0	0
MTND4P10	MTND4P10	0	0	0	0	0	0
HSPA9P1	HSPA9P1	1	0	1	1	2	2
BCAS2P3	BCAS2P3	0	0	0	0	0	0
LINC01108		0	0	0	0	0	0
TEX41		5	3	3	4	2	10
LINC02679		0	0	0	0	0	0
IGBP1P1	IGBP1P1	1	0	1	1	2	1
PWWP2AP1	PWWP2AP1	0	1	0	0	0	2
CT47A12	CT47A12	0	0	0	0	0	0
LINC01535		10	6	9	18	6	6
ENTPD1-AS1		105.15	77.28	126.97	78.73	125.35	109.74
NXNP1		0	0	0	0	0	0
ANKRD20A10P	ANKRD20A10P	0	0	0	1	1	4
LENG8-AS1	LENG8-AS1	22.09	43.33	29	26	35	36
MTND4P25	MTND4P25	0	0	0	0	0	0
RPL15P14		0	1	0	0	0	0
MIR217HG		0	0	0	0	0	0
NPM1P4	NPM1P4	0	0	0	0	0	0
SDCBPP1		0	0	0	0	0	0
FGF12-AS3	FGF12-AS3	0	0	0	0	0	0
FAM66C	FAM66C	29	31	52.66	35.94	54.93	58
LINC01709		0	0	0	0	0	0
PTPRD-AS2		0	0	0	0	0	0
SNRPGP8	SNRPGP8	0	0	0	0	0	0
EEF1DP2	EEF1DP2	0	3	2.11	4.45	0.4	0
LINC00424	LINC00424	0	0	0	0	0	0
PABPC1L2B-AS1		0	0	0	0	0	0
TMEM256P2		0	0	0	0	0	0
RPL35AP30	RPL35AP30	0	0	0	0	0	0
SNRPGP12	SNRPGP12	0	0	0	0	0	0
LINC02554		2	3	0	0	0	0
HSBP1L1	HSBP1L1	273	307	216	158	144	153
OAZ1P1		0	0	0	0	0	0
SMCR5	SMCR5	0	0	2	0	1.09	2
FSIP2-AS2		0	0	0	0	0	0
CUTALP		23	24	24	189	214	265
FOXN3P2		0	0	0	0	0	0
VPS25P1		1	0	0	0	0	0
DISC1-IT1	DISC1-IT1	0	0	0	0	0	0
DAB1-AS1		0	0	0	0	0	0
TAS2R46	TAS2R46	0	0	0	0	0	0
LINC02668		0	0	0	0	0	0
SRRM5	SRRM5	10.46	11.07	16.33	7.42	10.51	10.53
RPSAP33		0	0	0	0	0	0
FABP7P1	FABP7P1	0	0	0	0	0	0
GAPDHP54	GAPDHP54	0	0	0	0	0	0
HIKESHIP1		0	0	0	0	0	0
KRTAP3-4P	KRTAP3-4P	0	0	0	0	0	0
FAM30A	KIAA0125	0	0	0	0	0	0
NAALADL2-AS2	NAALADL2-AS2	0	0	0	0	0	1
TBCAP1	TBCAP1	0	4	1	3	1	0
TLK1P1	TLK1P1	0	1	0	0	0	1
PGAM4	PGAM4	4.35	4.45	3.29	5.55	1.12	5.57
WBP11P2		0	1	0	0	1	0
HNRNPA3P1	HNRNPA3P1	2	1	1	1	4	2
LINC02611		0	0	0	0	0	0
C13orf42	LINC00371	0	1	0	0	0	0
MTND1P20	MTND1P20	0	0	0	0	0	0
CACTIN-AS1	C19orf29-AS1	14.09	11.65	2.87	2.84	2.72	1.37
OSTCP8	OSTCP8	1	0	0	0	0	0
RUVBL2P1		0	0	0	0	0	0
ZNF451-AS1		3	7.47	7.64	5	3.27	5.15
LCT-AS1		5	7	4	0	0	1
MROH5		0	0	0	0	0	0
LINC00840		0	0	0	0	0	0
LINC01941		0	0	0	0	0	0
SLC6A6P1	SLC6A6P1	0	0	0	0	0	0
MEIS1-AS3	MEIS1-AS3	0	0	0	0	0	0
LINC02785		0	0	0	0	0	0
SUGT1P1		0	0	0	0	0	0
LINC01509		0	0	0	0	0	0
NPM1P11	NPM1P11	0	0	0	0	0	0
LINC02774		0	0	0	0	0	0
MED15P3		0	0	0	0	0	0
ARHGAP29-AS1		4	1	4	4	2	1
RPL32P19		0	0	0	0	0	0
HMGB1P32	HMGB1P32	0	0	0	0	0	0
MTND6P11	MTND6P11	0	0	0	0	0	0
PAICSP3	PAICSP3	0	0	0	0	0	0
EEF1GP3		0	0	0	0	1	0
LINC00348	LINC00348	0	0	0	0	0	0
PRPS1P1	PRPS1P1	0	0	0	0	0	0
RPSAP17		0	0	0	0	0	0
THORLNC		0	1	0	1	4	3
DUTP3	DUTP3	0	0	0	0	0	0
LINC02051		0	0	0	0	1	0
RBX1P1		0	0	0	0	0	0
SHROOM2P1	SHROOM2P1	0	0	0	0	0	0
ATE1-AS1		3	6	5	2	7.71	23
LHFPL3-AS1		0	0	0	0	1	0
CDY14P	CDY14P	0	0	0	0	0	0
ZNF877P	ZNF877P	0	0	0	0	0	0
SMYD3-AS1		0	0	0	0	0	0
GSTM3P2	GSTM3P2	0	0	0	0	0	0
H3P44	H3F3AP5	0	0	0	0	0	0
RPS29P10		0	0	0	0	0	0
E2F6P3		0	0	0	0	0	0
ERVMER34-1	ERVMER34-1	12	5	4	89	93	134
RPLP1P10		0	0	0	0	0	0
LINC01359		0	1	0	0	1	0
CHCHD2P1	CHCHD2P1	0	0	0	0	0	0
LINC00354	LINC00354	0	0	0	0	0	0
TTTY4	TTTY4	0	0	0	0	0	0
H2BP6	HIST1H2BPS3	0	0	0	0	0	0
ISCA2P1	ISCA2P1	0	0	0	1	2	1
BSN-DT	BSN-AS2	0	3	3	1	1	5
RPL19P4		0	0	0	0	0	0
LINC01276		0	0	0	0	0	0
LINC00454	LINC00454	0	0	0	0	0	0
IL1R1-AS1		0	0	0	0	0	0
PDZPH1P		0	1	0	0	0	2
RPS14P4		0	0	0	0	0	0
CT47A11	CT47A11	0	0	0	0	0	0
GTF2IP2	GTF2IP2	0	0	0	0	0	0
NRBF2P2		0	0	0	0	0	0
LINC00161	LINC00161	0	0	0	0	0	0
CEP164P1		28.11	31.85	14.43	14.81	19.18	21.39
RBMY1J	RBMY1J	0	0	0	0	0	0
IL9RP3	IL9RP3	2	2	1	1	0	2
ALG1L5P		0	0	0	0	0	0
RNF207-AS1		0	0	0	0	1	1
LCEP4		0	0	0	0	0	0
RPS4XP2		1	2	2	0	2	0
OR6K5P	OR6K5P	0	0	0	0	0	0
DANCR	DANCR	167	140	180.8	160	148	153
NCKAP5-AS2		0	0	0	12	12	9
MTCO1P21		0	0	0	0	0	0
PPIAP60		0	0	0	0	0	0
RAC1P6	RAC1P6	0	0	0	0	0	0
RHEBP2		12.25	9.71	7.76	47.43	41.02	50.14
HAUS4P1	HAUS4P1	0	0	0	0	0	0
LINC00423	LINC00423	0	0	0	0	0	0
NEDD8P1		0	0	0	0	0	0
RPL12P19		0	0	0	0	0	0
COX6A1P2	COX6A1P2	68	56	59	53	37	42
HMGN1P24	HMGN1P24	0	0	0	0	0	0
MAGI2-AS2	MAGI2-AS2	0	0	0	0	0	0
LTA	LTA	0	0	0	1	1	0
ABHD17AP6	FAM108A7P	0	0	0	0	0	0
CENPCP1	CENPC1P1	1	0	1	2	0	1
LINC01692		0	0	0	0	0	0
PRELID1P5		1	2	1	2	1	1
LINC00658		0	0	0	0	0	0
HSPD1P14	HSPD1P14	0	0	0	0	0	0
NBPF2P	NBPF2P	11	11.97	13.83	0	0	2
LINC01247		0	0	0	0	0	0
RPS24P19		7.31	9	15.91	4.29	10	9
FUNDC2P4	FUNDC2P4	0	0	0	0	0	0
LINC02876		0	0	0	0	0	0
LINC02527		0	0	0	0	0	0
OR7E96P		0	0	0	0	0	0
FKBP14-AS1		4	1	3	1	0	1
LINC02796		0	0	0	0	0	0
IL6STP1	IL6STP1	0	0	0	0	0	0
OR7E101P	OR7E101P	0	0	0	0	0	0
OR51A3P	OR51A3P	0	0	0	0	0	0
SLC8A1-AS1		0	0	1	0	0	0
RPS2P36		0	0	0	0	0	0
MTATP6P18		0	0	0	0	0	0
LINC00511		646	580	616	1070	1109	1357
GTF2IP7		3	0	2	3	6	5
LINC01682		0	0	0	0	0	0
C14orf132	C14orf132	1931	1884	1499	1566	1716	1820
MUC12-AS1		4	2	0	0	0	0
FDX1P2	FDX1P2	0	0	0	0	0	0
RPL6P2		0	0	0	0	0	0
WDR46	WDR46	947	741	839	1103	1126	1449
ANHX		0	0	0	0	0	0
LINC00629		1	2	3	4	6	10
RPL41P1	RPL41P1	847.28	810.11	695.3	656.96	674.22	674.62
DPPA3P1	DPPA3P1	0	1.14	0	0	1	0
CNN2P2	CNN2P2	0	0	0	0	0	0
FOCAD-AS1		1	2	0	0	0	0
SDHDP2	SDHDP2	0	0	0	1	0	1
LINC02094		0	0	0	0	0	0
SLC6A17-AS1		0	0	0	0	0	0
HMGB3P8	HMGB3P8	0	0	0	0	0	0
RPS28P7		180.95	140.63	147.25	131.45	116.21	128.06
OR2AS1P		0	0	0	0	0	0
PARP1P1	PARP1P1	0	0	0	0	0	0
LMCD1-AS1		23	16	29	4	15	20
LINC01630		0	0	0	0	0	0
HORMAD2-AS1		1	0	0	0	0	0
BTF3P13	BTF3P13	0	0	0	0	0	0
LINC02672		34	44	30	0	0	0
RPL12P44		0	0	1	0	0	0
ZNF717	ZNF717	72	66	73	40	41	41
LBX1-AS1		0	0	0	0	0	1
OTX2P2		0	0	0	0	0	0
USP17L5	USP17L5	0	0	0	0	0	0
LINC01153		0	0	0	0	0	0
IL21-AS1		1	1	0	0	0	0
PRR20D	PRR20D	0	0	0	0	0	0
OR2T7		0	0	0	0	0	0
MKRN6P		0	0	0	0	0	0
DDX11L16	DDX11L16	0	0	0	0	0	0
THEM7P		0	0	0	0	0	0
WDR11-AS1		0	2	0	1	3	1
STSP1	STSP1	0	0	0	0	0	0
MYL6P3	MYL6P3	0	0	0	0	0	0
NSA2P5		0	0	0	1	0	0
AIMP1P2	AIMP1P2	0	0	0	0	0	0
PGBP	PGCP1	0	0	0	0	0	0
LRRC2P1		0	0	0	0	0	0
LINC01688		0	0	0	0	0	0
RPL21P31		0	0	0	0	0	0
MGAT3-AS1		0	1	0	0	1	0
TRGC2	TRGC2	0	0	0	0	0	0
MIR663AHG		0	0	0	0	0	0
IGHD4-23	IGHD4-23	0	0	0	0	0	0
C6orf47-AS1	C6orf47-AS1	0	0	0	0	0	0
ST7-AS1	ST7-AS1	25.5	17.24	34.06	56.89	52.68	55.08
CNN2P1	CNN2P1	0	0	0	0	1	0
SUB1P1	SUB1P1	0	0	0	1	0	0
RBMY2JP	RBMY2JP	0	0	0	0	0	0
PFN1P9	PFN1P9	0	0	0	0	0	0
RPL31P12		0	0	2	0	0	0
H3P45		0	0	0	0	0	0
PFN1P6	PFN1P7	2	1	3	2	4	1
SPATA13-AS1	SPATA13-AS1	0	0	0	0	0	0
HCG15	HCG15	10	13	18	9	15	19
MTND1P14	MTND1P14	0	0	0	0	0	0
WASH7P	WASH7P	154.08	146.33	132.4	126.26	121.85	121.86
CICP17		0	0	0	0	0	0
SPANXB1	SPANXB2	0	0.5	0	0	0	0
TTC39DP	TTC39DP	0	1	0	0	0	0
SLAMF6P1	SLAMF6P1	0	0	0	0	0	0
LINC00845		0	0	0	0	0	0
TRIM60P13	TRIM60P13	0	0	0	0	0	0
FAM155A-IT1	FAM155A-IT1	0	0	1	1	0	1
TRIM60P9Y	TRIM60P9Y	0	0	0	0	0	0
VDAC1P12	VDAC1P12	0	0	0	0	0	0
CDRT15P2	CDRT15P2	0	0	0	0	0	0
MIS18A-AS1	MIS18A-AS1	1	1	2	1	0	2
SMIM2-AS1	C13orf44-AS1	1	3.78	3	7	7	7
HMGN2P22	HMGN2P22	0	0	0	0	0	0
LINC01985		0	0	0	0	0	0
HCG4B		59.31	86.62	55.74	2	2	2
ACTR3BP5	ACTR3BP5	0	0	0	0	0	0
GXYLT1P7		0	0	0	1	0	0
KLLN	KLLN	24	25	33	53	67.05	51.06
RPL39P25	RPL39P25	0	0	0	0	0	0
MYOCD-AS1		0	0	0	0	0	0
MTND6P10	MTND6P10	0	0	0	0	0	0
RPL35AP12	RPL35AP12	0	0	0	0	0	0
MARK2P10	MARK2P10	0	0	0	0	0	0
ARID3BP1		0	0	0	0	1	0
HSFY3P	HSFY3P	0	0	0	0	0	0
LINC01364		0	0	0	0	0	0
ELL2P1	ELL2P1	5	2	3	2	3	3
ARAFP3		0	0	0	0	0	0
KRT16P2	KRT16P2	0	0	0	0	0	0
SSXP9		0	0	0	0	0	0
LINC02708		0	0	0	0	0	0
LINC02832		0	0	0	0	1	1
LINC02630		0	0	0	0	0	0
RPL7AP22		0	0	0	0	0	0
IGHJ1P	IGHJ1P	0	0	0	0	0	0
LINC00434	LINC00434	0	0	0	0	0	0
RPL23AP43		0	0	0	0	0	0
THRAP3P1	THRAP3P1	1	0	0	2	0	0
LINC00307	LINC00307	0	0	0	0	0	0
RPL15P1	RPL15P1	0	0	0	0	0	0
HAUS6P1	HAUS6P1	14	9	5	11	5	7
PARG	PARG	508.52	457.4	506.35	557.74	611.13	755.22
HNRNPKP2	HNRNPKP2	10	3	4	5	11	6
MTND5P25	MTND5P25	0	0	0	2	0	1
CEACAMP7	CEACAMP7	0	0	0	0	0	0
PPIAP88		0	0	0	0	0	0
ARHGEF7-AS1	ARHGEF7-AS1	0	0	0	0	0	0
RAB28P3		0	0	0	0	0	0
RBM26-AS1	RBM26-AS1	41	19	28	45	42.53	43
LINC00866		0	0	0	0	0	0
SLC9B1P4	SLC9B1P4	0	0	0	0	0	0
RABGAP1L-DT		1	0	0	0	0	0
DLG1-AS1		2	7.01	4	15.02	16	15.01
FTH1P16	FTH1P16	3	5.02	4.12	3	5.44	5
EIF4A2P2		1	0	0	0	3	0
RPL35AP2		0	0	0	0	0	0
SALL1P1	SALL1P1	0	0	0	0	0	0
HPN-AS1		0	0	0	0	0	0
EIF2AP4	EIF2AP4	0	0	0	0	0	0
KIF9-AS1		60.67	37	51	66	96	101.72
RPL37P1	RPL37P1	0	0	0	0	0	0
LINC01806		45	48	63	2	0	0
KRT8P20	KRT8P20	0	0	0	0	0	0
RNF6P1	RNF6P1	0	0	0	0	0	0
AMYP1	AMYP1	2	0	0	0	0	0
ZMYM4-AS1	ZMYM4-AS1	0	1.12	0	0	0	4.11
ACNATP	BAATP1	0	0	0	0	0	0
STK33P1	STK33P1	0	0	0	0	0	0
PCGEM1	PCGEM1	0	0	0	0	2	0
LINC01724		0	0	0	0	0	0
OR10U1P	OR10U1P	0	0	0	0	0	0
MRPS21P2		0	0	0	0	0	0
VN1R33P	VN1R33P	0	0	0	0	0	0
H3P9		0	0	0	0	0	0
ASIC4-AS1		0	0	0	0	0	0
RNF19BPX	RNF19BPX	0	0	0	0	0	0
FCF1P1		0	0	0	0	0	0
TTTY17B	TTTY17B	0	0	0	0	0	0
ATP5MC1P4	ATP5G1P4	3	13	6	3	7	7
H3P30		0	0	0	0	0	0
OR10R1P	OR10R1P	0	0	0	0	0	0
XGY1	XGPY	0	0	0	0	0	0
FGF7P6		9.19	10.85	12.83	19.84	18.79	34.71
HNRNPA1P63		0	0	0	0	0	0
MTND4P30	MTND4P30	0	0	0	0	0	0
LINC00310	LINC00310	0	11	0	5	5	7
PSME2P6		0	0	0	0	0	0
GPN3P1		0	0	0	0	0	0
PDE4B-AS1		0	0	0	0	0	0
LINC01537		57	45	50	3	1	3
RPL39P16		0	0	0	0	0	1
AKR1B15	AKR1B15	0	0	0	0	0	0
TSSK5P	TSSK5P1	0	0	0	0	0	0
RPL6P24		0	0	0	0	0	0
STK4-AS1	STK4-AS1	7	2	3	8	1	9
CCDC148-AS1		0	0	0	0	0	0
NCAM1-AS1		0	0	0	0	0	0
GAGE12D	GAGE12D	0	0	0	0	0	0
CCNJP1	CCNJP1	0	0	0	0	0	0
KIF1C-AS1		2	4	0	1	1	0
PABPC1P6	PABPC1P6	0	0	0	0	0	0
SCAMP4	SCAMP4	1579.38	1485.09	1513.25	1690.84	1684.55	1922.15
MROCKI		29	38	42	0	1	0
SLIRPP1		0	0	0	0	0	0
LTB	LTB	2	4	0	2	3	3
LINC01624		0	0	0	0	0	0
LINC01839	EIF2B5-IT1	0	0	0	0	0	0
LINC01442		0	0	0	0	0	0
ILRUNP1		0	0	0	0	0	0
C1DP4	C1DP4	0	0	0	0	0	0
LINC01483		0	0	0	0	0	0
MIR1302-9HG	MIR1302-10	21	30	35	16	29	22
TUBB4BP8		0	0	0	0	0	0
RPL7P6		0	0	0	0	0	0
DIAPH3-AS1	DIAPH3-AS1	0	0	0	0	0	0
SLC2A1-AS1		19	20	20	20	22	22
AP1M2P1		0	0	0	0	0	0
SOCS5P4		1	8	1	4	4	5
HNRNPFP1		0	0	0	2	0	0
SFR1P1		0	0	0	0	0	0
SPAG5-AS1	SPAG5-AS1	24.27	31.08	27.23	27.4	33.08	18.31
OR4A2P	OR4A2P	0	0	0	0	0	0
TRBV7-5	TRBV7-5	0	0	0	0	0	0
USP17L12		0	0	0	0	0	0
MIR4290HG		0	0	0	0	0	0
MTND3P9	MTND3P9	0	0	0	0	0	0
RPS15AP30		0	0	0	0	0	0
RNF11P2		0	0	0	0	0	0
LINC00376		0	0	0	0	0	0
SNX18P26	SNX18P26	0	0	0	0	0	0
RPS3AP53		1	0	0	0	0	0
STAU2P1		0	1	1	0	1	0
ADGRF5P1		19	15	26	0	0	0
RPS3AP37		1	0	1	0	0	0
MTND4P5	MTND4P5	0	0	0	0	0	0
RPS26P39		0	0	0	0	0	0
CNTN4-AS2	CNTN4-AS2	0	0	0	0	0	0
ATP5MC1P5	ATP5G1P5	0	0	0	0	0	0
HSD11B1-AS1		3	0	1	0	0	0
PIGFP3		0	0	0	0	0	0
PHBP16		0	0	0	0	0	0
WASF1P1		0	0	0	0	0	0
PTPRT-AS1		0	0	0	0	0	0
TOMM22P3	TOMM22P3	0	0	0	0	0	0
SUMO2P2	SUMO2P2	0	0	0	0	0	0
TMEM183AP1	TMEM183AP1	0	0	0	0	0	0
LINC01074		0	0	0	0	0	0
QRSL1P2	QRSL1P2	0	0	0	0	0	0
CERS6-AS1		69.81	0	0	124.01	53.83	263.53
ALG1L8P		0	0	0	0	0	0
PHBP11	PHBP11	0	0	1	0	0	0
SLC25A15P1	SLC25A15P1	0	0	0	0	0	0
LINC01132		0	0	0	0	1	0
RBMY2YP	RBMY2YP	0	0	0	0	0	0
LINC01714		0	0	0	0	0	0
USP9YP21	USP9YP21	0	0	0	0	0	0
HNRNPA1P14	HNRNPA1P14	0	1	0	1	1	0
SOX21-AS1	SOX21-AS1	0	0	0	0	0	1
RPL7P54	RPL7P54	0	0	0	0	0	0
STEAP2-AS1	STEAP2-AS1	0	0	0	0	0	0
MTND6P32		0	0	0	0	0	0
ISCA1P6	ISCA1P6	0	0	0	0	0	0
SERPINA7P1		0	0	0	0	0	0
CLYBL-AS2	CLYBL-AS2	0	0	0	0	0	0
UST-AS1		0	0	0	0	0	0
MTCO3P18		0	0	0	0	0	0
RPL7P2	RPL7P2	0	0	0	0	0	0
ZNF731P		832	950	835.98	589.91	629.94	660.98
LINC00355	LINC00355	0	0	0	0	0	0
LINC01068		0	0	0	0	1	0
ATP5F1AP2	ATP5A1P2	0	0	0	0	0	0
CROCCP4		0	0	0	0	0	0
LINC02088		0	0	0	0	0.32	0
HNRNPA3P2	HNRNPA3P2	0	0	0	0	0	0
SRP68P2	SRP68P2	0	0	0	0	0	0
MED28P3		2	0	1	3	1	3
GSTM3P1	GSTM3P1	0	0	0	0	1	0
RPL23AP74		2.6	6	2	0	1	0
DNMBP-AS1	DNMBP-AS1	18.6	23.75	23.79	27.58	31.05	34.65
LINC00111	LINC00111	0	0	0	0	0	0
SDAD1P3	SDAD1P3	0	0	0	0	0	0
LINC01850		0	0	0	0	0	0
MTND6P18	MTND6P18	0	0	0	0	0	0
RPSAP64	RPSAP64	0	0	0	0	0	0
GCOM2	GCOM2	4	2	3	2	1	1
RD3L	TDRD9-AS1	0	0	0	0	0	0
MTND6P5	MTND6P5	0	0	0	0	0	0
